index,product,category,sub_category,brand,sale_price,market_price,type,rating,description
149,Mustard Oil - Cold Pressed,Gourmet & World Food,Oils & Vinegar,Health 1st,250,250,Flavoured & Other Oils,3.7,"Mustard Oil is a good source of monounsaturated fatty acids. One of the most balanced fatty acid compositions of monounsaturated and polyunsaturated fatty acids among oils. Extracted from Mustard Plant, it is usually used in cooking in an Indian household. Having umpteen health benefits, the oil is also used to massage people suffering from muscle pain, cold among others."
150,Juice/Water Glass - Long Drink Nord,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,639,975,Glassware,3.3,"The Lyra Nord Long Drink Glass 410 ml - Set of 6 can assist you in serving your guests with class and elegance. Made of glass, this product features a transparent body with an attractive shape to root for. With an ideal dimension and sturdy material, this set of glasses is a durable choice."
151,Glass Amaze Air Tight Jar - Pink,"Kitchen, Garden & Pets",Crockery & Cutlery,Iveo ,289,358,Glassware,,"These glass Jars are beautiful looking with its fabulous printed design, made with good quality. These jars are made air tight to keep food articles fresh for longer period, these are also extra strong, freezer safe, food grade, moisture resistant, scratch resistant with no sharp edges & no wobbling. These glass jars are ideal for storing snacks, nuts, spices & other food articles."
152,"Finger Brush For Kids - Blue, Ultra Soft",Beauty & Hygiene,Oral Care,Dentoshine  ,120,120,Toothbrush,4.3,- Safe & easy to use - Fits comfortably on the finger - Cleans teeth & massages gums - Specially made for gentle care
153,Water/Juice Glass  - Jupiter Long Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Lyra,459,705,Glassware,3.5,"Lyra Jupiter Long Drink Glass - Set of Six Whether you enjoy champagne, cognac, wine, or fresh vegetable and fruit juices, a proper glass is required to serve the same. The Lyra Jupiter 350-ml Long Drink Glasses are perfectly suited to serve a variety of drinks, be they aerated, non-aerated, alcoholic or non-alcoholic. What is more, you can also serve cold water to your guests in these beautiful Lyra Jupiter long drink glasses."
154,Energy Bar - Choco Crunch,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",On The Run,50,50,"Healthy, Baked Snacks",,"Need that punch? go for the crunch! With crystallised fresh ginger, its perfect companion of tea or coffee. Ginger and green tea extract is a perfect combination of antioxidants. Chocolate Chips gives a rich taste. Finger Millet is the surprise ingredient. Rich in antioxidants, it comes with green tea extract and is rich in Vitamin C"
155,Breeze - Razor Blades,Beauty & Hygiene,Feminine Hygiene,Gillette Venus,350,350,Hair Removal,4.3,The Gillette Venus Breeze blade for women is the secret to a time-saving shave. Simply wet the blade for an amazingly smooth shave. Flexible shave gel bars are built-in and contain rich body butter for a light lather. A smooth glide that makes no need for separate shave gel or soap. 3 Spring-mounted blades with telomer coating with shower storage. Indulge your senses as you shave with the Venus Breeze 2-in-1 women's razor.
156,"Confeito Vermicelli Combo, Sprinkles",Gourmet & World Food,Cooking & Baking Needs,Wow Confetti,247,260,"Baking, Cake Decorations",,"Put the finishing touch on all of your fun and festive baked treats with these rainbow sprinkles! Perfect for a consistent product that's sure to please you. Sprinkle these tiny, thin, rod-shaped colourful confections into your signature cookie batter, top a flavorful ice cream sundae, or use them to garnish frosted cupcakes. Can also be sprinkled on cake pops, cookies, cakesicles and more."
157,Olive Oil - Classic,Gourmet & World Food,Oils & Vinegar,BORGES,429.03,700,"Pure, Pomace Olive Oil",4.5,"Olive oil is rich with monosaturated fats which makes it the king of healthy oils. It helps reduce inflammation and controls cholestrol and blood sugar. It is universally proven to be the heathiest oil and can be used for a number of things including pasta sauce, salad dressings and much more."
158,"Octa Plastic Pet Water Bottle - Light Blue, Narrow Mouth","Kitchen, Garden & Pets",Storage & Accessories,BB Home,25,42,Water & Fridge Bottles,,"These BB Home pet water bottles are made of high-quality plastic which is 100% food grade and BPA free. Due to the use of virgin PET material, these bottles are having elegant shine and colour. These are the best ones to store water in the fridge or you can drink water directly from them.BB Home products are always high quality and at a very competitive price compared to other branded products in the market. So when you get the best or better than the brands available in the market at a lower cost, definitely you save money and get the best quality product for your use.Special Note: Colour of the bottle physically might slightly differ from the image displayed on the website due to digital photography."
159,Chia Seeds,Gourmet & World Food,Cooking & Baking Needs,Organicana,185,185,Quinoa & Grains,,"1 teaspoon chia contains 2g protein and 5g fibre. 1 tablespoon of chia seeds mixed with 3 tablespoons of warm water left to sit for 10 minutes is the equivalent to 1 egg, a great vegan alternative. Chia can absorb 9 times liquid compare to its weight making your stomach fill full and is therefore considered good for weight loss. Organicana chia is a certified organic product of India and it is grown in Malwa region of Madhya Pradesh which is considered to be the most fertile region of central India."
160,Skin Cream,Beauty & Hygiene,Skin Care,Aloederm,112.5,150,Face Care,3.1,"Aloe vera based (Cold processed) Moisturising cream with additional benefits of Niacinamide and Vitamin E in 50 gm tube. Niacinamide increases ceramide and other intercellular lipid levels in epidermis thereby reducing inflammation. Aloe Vera has been known for Keratolytic action for removing dead skin, replacing it with new skin cells. Aloe dilates the capillaries, and thus increases the blood flow, which fastens the wound healing process."
161,One Touch Air Purifier Freshener - Floral Bouquet Refill,Cleaning & Household,Fresheners & Repellents,Odonil ,77,77,Air Freshener,4.2,"Odonil One Touch is proof you dont need an oil diffuser for your home, as it also guards your family from all sorts of bacteria in the air.Whether you need a room, car, or bathroom freshener, this one-touch spray is versatile air sanitiser that reduces 99% of airborne germs with only one spray."
162,Water/Juice Glass,"Kitchen, Garden & Pets",Crockery & Cutlery,Yera,189,220,Glassware,3.7,"Classic Yera tumblers for typical daily use. Stylish and affordable. Microwave Safe for the mild re-heating purpose only, not for Popping corn & Cooking. Unlike Plastic will not leach Chemicals into your Food even over repeated usages."
163,Color Naturals Creme Riche Ultra Hair Color - Raspberry Red,Beauty & Hygiene,Hair Care,Garnier,199,199,Hair Color,4.1,"Garnier Color Naturals is creme hair colour which gives 100% Grey Coverage and ultra visible colour with 50% more shine. It has a superior Colour Lock technology which gives you a rich long-lasting colour that lasts up to 8 weeks. Color Naturals comes in a range of 8 gorgeous shades especially suited for Indian skin tones. It is available in an easy to use kit which can be used at your convenience in the comfort of your house! It is enriched with the goodness of 3 oils - Almond, Olive and Avocado which nourishes hair and provides shiny, long-lasting colour. Your hair will love the nourishment and you will love the colour!"
164,Nomarks - Antimarks Soap For Oily Skin,Beauty & Hygiene,Bath & Hand Wash,Bajaj,40,40,Bathing Bars & Soaps,4.3,"New Bajaj nomarks soap helps remove excess oil, deep-rooted dirt and provides relief from sunburn, blemishes and acne or pimple problems. It is a natural antiseptic which provides deep pore cleansing. Its key ingredient neem is a miraculous herb which is medicinal in nature and has potent antibacterial and powerful healing properties. Neem effectively prevents and treats itching, rashes, acne and other skin ailments."
165,"Silver Needles Tulsi White Tea Bags - Rich In Antioxidants, Pure Tea Buds",Gourmet & World Food,Drinks & Beverages,Sancha,450,450,Gourmet Tea & Tea Bags,,"Immunity Boosting Tea Enjoy the goodness of ‘Antioxidant’ rich white tea blended with an ancient Indian herb- ‘Tulsi’ with sweet & intense citrus notes. Cleanse, Detoxify & Purify your body with this blend

Ingredients: White Tea & Holy Basil Leaves (Tulsi)
Healthy Benefits: Builds Immunity & Detoxes the insides
Caffeine Levels: Low Master
Tea Tasters Notes: Sweet Intense, Citrus Notes
Time to Enjoy this Brew: Daily Morning Kickstarter"
